City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,leninskoye,41.7589,69.3864,2.1,73,0,2.54,KZ,1729042939
173,georgetown,5.4112,100.3354,28.86,75,40,3.09,MY,1729042749
174,miyaly,48.8844,53.7836,2.68,52,100,2.91,KZ,1729042941
175,iqaluit,63.7506,-68.5145,0.85,80,75,2.57,CA,1729042942
176,aldama,22.9167,-98.0667,20.61,92,0,1.56,MX,1729042943
177,kananga,-5.8958,22.4178,20.1,95,69,0.79,CD,1729042944
178,mahibadhoo,3.7833,72.9667,28.48,75,88,6.87,MV,1729042945
179,san patricio,28.017,-97.5169,24.97,61,0,3.66,US,1729042947
180,el granada,37.5027,-122.4694,19.24,86,100,7.2,US,1729042948
181,udachny,66.4167,112.4,-10.08,94,99,3.54,RU,1729042949
182,gizo,-8.103,156.8419,28.76,72,81,1.11,SB,1729042950
183,labytnangi,66.6572,66.4183,-2.6,97,100,0.75,RU,1729042951
184,vernon,50.2581,-119.2691,12.64,93,100,0.0,CA,1729042952
185,yeghegnadzor,39.7639,45.3324,15.59,66,100,1.2,AM,1729042954
186,zhangye,38.9342,100.4517,16.74,26,100,1.4,CN,1729042699
187,st. john's,47.5649,-52.7093,16.66,96,100,7.2,CA,1729042918
188,hamilton,39.1834,-84.5333,6.72,89,8,0.45,US,1729042755
189,kapoeta,4.7717,33.5903,22.28,82,100,2.64,SS,1729042959
190,bengkulu,-3.8004,102.2655,27.61,69,71,1.55,ID,1729042794
191,sos'va,59.1766,61.8558,-1.6,65,40,2.05,RU,1729042961
192,kilkenny,52.6542,-7.2522,15.1,99,100,1.79,IE,1729042962
193,kathmandu,27.7167,85.3167,17.12,94,75,0.0,NP,1729042344
194,touros,-5.1989,-35.4608,24.86,75,42,5.22,BR,1729042964
195,papatowai,-46.5619,169.4708,10.76,54,12,4.08,NZ,1729042965
196,portland,45.5234,-122.6762,17.59,89,100,0.89,US,1729042966
197,genhe,50.7833,121.5167,1.38,42,100,3.13,CN,1729042969
198,vilyuchinsk,52.9306,158.4028,8.15,75,45,2.54,RU,1729042970
199,borkum,53.5809,6.6915,10.31,76,100,11.75,DE,1729042971
200,pikalevo,59.5183,34.1664,3.12,98,99,1.55,RU,1729042972
201,greenville,35.6127,-77.3663,11.18,91,100,0.0,US,1729042973
202,forster,-32.1667,152.5167,18.54,79,100,2.66,AU,1729042974
203,kodiak,57.79,-152.4072,9.73,62,75,4.12,US,1729042975
204,cova figueira,14.8905,-24.2934,20.53,80,22,3.76,CV,1729042976
205,tahta,26.7693,31.5021,24.05,43,0,3.42,EG,1729042978
206,gushu,31.5598,118.4829,20.55,84,100,5.49,CN,1729042956
207,mil'kovo,55.6078,37.7956,7.57,64,100,1.77,RU,1729042980
208,chernyshevskiy,63.0128,112.4714,-11.17,70,100,2.54,RU,1729042981
